epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.50732,1.51313,4.05487,1.55227,0.00966,0.85714,0.11399,0.06693,0.65796,4.19518,1.18447,1e-05,1e-05,1e-05
2,16.8714,1.23278,3.92386,1.46028,0.01222,0.85714,0.11314,0.06391,0.60948,4.18544,1.15456,2.9703e-05,2.9703e-05,2.9703e-05
3,24.9935,1.07312,3.80292,1.3076,0.01518,0.85714,0.11463,0.08877,0.5531,4.16828,1.12993,4.901e-05,4.901e-05,4.901e-05
4,32.9958,1.19046,3.89375,1.38308,0.01864,0.85714,0.13269,0.11806,0.47182,4.15278,1.09756,6.7921e-05,6.7921e-05,6.7921e-05
5,40.9631,0.83868,3.63427,1.20226,0.02112,0.85714,0.22002,0.2066,0.44631,4.12037,1.04752,8.6436e-05,8.6436e-05,8.6436e-05
6,48.9801,0.82092,3.62451,1.25646,0.02152,0.85714,0.23275,0.21584,0.41336,4.08797,1.00271,0.000104555,0.000104555,0.000104555
7,56.9807,0.7402,3.66681,1.16439,0.02661,0.90476,0.27058,0.2363,0.35595,4.06747,0.97358,0.000122278,0.000122278,0.000122278
8,64.8916,0.70055,3.56398,1.17695,0.02557,0.90476,0.28142,0.25355,0.38349,3.99009,0.99547,0.000139605,0.000139605,0.000139605
9,73.0415,0.61213,3.28667,1.10587,0.02231,0.90476,0.31174,0.25847,0.37997,3.98552,1.00108,0.000156536,0.000156536,0.000156536
10,81.1964,0.8598,3.34484,1.14971,0.02292,0.90476,0.33835,0.28102,0.36844,3.98018,1.001,0.000173071,0.000173071,0.000173071
11,89.4218,0.66275,3.11922,1.03767,0.02272,0.90476,0.34889,0.3023,0.36755,3.96648,1.0018,0.00018921,0.00018921,0.00018921
12,97.7629,0.59627,3.01048,1.06029,0.02222,0.90476,0.33046,0.28753,0.35984,3.92522,1.01106,0.000204953,0.000204953,0.000204953
13,105.809,0.84784,3.06111,1.22813,0.0209,0.90476,0.33046,0.28787,0.36296,3.89815,1.00899,0.0002203,0.0002203,0.0002203
14,113.976,0.69882,2.85027,1.13504,0.02017,0.90476,0.32678,0.28366,0.36481,3.88201,1.00503,0.000235251,0.000235251,0.000235251
15,121.934,0.62045,2.77891,1.06977,0.01947,0.90476,0.34099,0.30374,0.40839,3.83323,1.03729,0.000249806,0.000249806,0.000249806
16,130.048,0.61576,2.49907,1.05105,0.02164,0.95238,0.39556,0.36717,0.39966,3.7526,1.01078,0.000263965,0.000263965,0.000263965
17,138.477,0.60942,2.38763,1.06053,0.0218,0.95238,0.39556,0.37269,0.36943,3.64223,0.99242,0.000277728,0.000277728,0.000277728
18,146.686,0.57802,2.28296,1.09119,0.0243,0.95238,0.38766,0.37669,0.37889,3.58147,0.99581,0.000291095,0.000291095,0.000291095
